"-51,37","0,0","-6,4","-17,12","-33,19","-40,24","-45,27","-46,29","-48,33","-50,36","-51,37"
"-81,33","0,0","-3,0","-8,3","-22,8","-40,15","-55,21","-65,25","-72,28","-78,31","-81,33"
"51,47","0,0","2,5","10,12","17,20","23,26","30,31","37,36","42,39","46,42","50,46"
"-87,-39","0,0","-4,-3","-12,-8","-32,-18","-54,-27","-66,-32","-70,-34","-78,-37","-84,-38","-86,-39"
"65,-32","0,0","3,-2","12,-6","22,-12","31,-17","40,-22","48,-26","53,-29","57,-30","60,-31"
"-73,-47","0,0","-4,-3","-13,-10","-23,-17","-33,-24","-45,-31","-56,-37","-64,-41","-70,-43","-73,-46"
"-75,-39","0,0","-10,-6","-23,-13","-40,-22","-51,-29","-59,-34","-70,-36","-80,-38","-79,-39","-76,-39"
"66,29","0,0","3,1","10,5","20,9","32,14","45,21","53,24","60,25","64,27","66,29"
"60,33","0,0","2,3","11,8","24,15","35,22","41,25","45,26","49,29","52,30","57,31"
"-80,-45","0,0","-8,-5","-17,-10","-32,-19","-41,-25","-56,-32","-66,-36","-74,-42","-78,-44","-80,-45"
"-82,34","0,0","-3,2","-11,7","-23,12","-42,19","-51,23","-58,27","-67,31","-79,33","-84,35"
"-61,41","0,0","-8,4","-21,12","-32,19","-42,25","-50,30","-57,34","-59,37","-60,39","-61,41"
"-72,-40","0,0","-7,-4","-18,-11","-28,-17","-43,-26","-51,-29","-58,-35","-59,-38","-63,-39","-68,-39"
"57,-46","0,0","1,-1","7,-5","17,-12","29,-19","40,-26","46,-31","51,-36","54,-41","56,-44"
"-89,48","0,0","-9,5","-22,13","-37,22","-49,29","-63,37","-73,41","-78,44","-83,47","-87,47"
"-64,-37","0,0","-5,-3","-10,-6","-18,-13","-27,-19","-37,-24","-45,-29","-50,-32","-58,-34","-61,-35"
"63,-41","0,0","2,-2","6,-6","8,-6","16,-11","32,-21","50,-32","61,-39","66,-42","66,-43"
"66,-50","0,0","1,-1","4,-6","14,-14","30,-23","46,-33","57,-40","66,-47","71,-50","69,-50"
"-71,42","0,0","-4,2","-14,10","-27,16","-39,19","-49,24","-58,29","-65,34","-69,38","-70,40"
